,,,,,,,,
,N,N/32,p,GPU,,CPU,,Speedup
,,,,Inherently serial,Parallelizable,Inherently serial,Parallelizable,
,8299,259.34375,260,0.104659,0.317865,0.102536,13.006189,123.805554864370
,8399,262.46875,263,0.105858,0.318997,0.103716,13.318593,125.359056012448
,8499,265.59375,266,0.107981,0.33423,0.104582,13.632887,125.757807778705
,8599,268.71875,269,0.109013,0.336594,0.105996,13.962594,127.589733971687
,8699,271.84375,272,0.109605,0.349441,0.108179,14.283671,129.785261926090
,8799,274.96875,275,0.110818,0.356978,0.110868,14.616687,131.359856088143
,8899,278.09375,279,0.112159,0.364448,0.111859,14.961034,132.841473283046
,8999,281.21875,282,0.113476,0.368234,0.113466,15.294471,134.236767167156
,9099,284.34375,285,0.114920,0.376353,0.114798,15.639382,135.530860644593
,9199,287.46875,288,0.115864,0.383191,0.116543,16.960533,145.715647562814
,9299,290.59375,291,0.117024,0.390818,0.116197,16.221760,138.027952287257
,9399,293.71875,294,0.118533,0.397101,0.117771,16.558810,139.106344491570
,9499,296.84375,297,0.119341,0.406805,0.118174,16.816731,140.293305094669
,9599,299.96875,300,0.121410,0.411714,0.117795,17.175751,140.847131322915
,9699,303.09375,304,0.123660,0.421258,0.121093,17.516577,141.049772901479
,9799,306.21875,307,0.123149,0.426159,0.121965,17.872279,144.488977268846
,9899,309.34375,310,0.124583,0.433826,0.123003,18.249661,145.835119467240
